Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,427,177,952,605,959,799
4/10/2022,>25,Male,924,536,854,695,381,135
4/10/2022,15-25,Female,584,759,996,209,356,722
4/10/2022,>25,Female,112,479,225,101,234,859
5/10/2022,15-25,Male,988,915,565,112,948,123
5/10/2022,>25,Male,83,573,729,337,141,587
5/10/2022,15-25,Female,826,122,566,880,445,747
5/10/2022,>25,Female,374,279,59,965,149,898
6/10/2022,15-25,Male,153,455,663,526,644,565
6/10/2022,>25,Male,563,491,51,783,984,956
6/10/2022,15-25,Female,860,712,735,322,629,588
6/10/2022,>25,Female,563,408,73,800,535,135
7/10/2022,15-25,Male,99,478,858,576,201,161
7/10/2022,>25,Male,254,139,38,467,520,690
7/10/2022,15-25,Female,296,669,486,158,704,912
7/10/2022,>25,Female,339,784,830,975,866,388
8/10/2022,15-25,Male,306,297,933,732,853,764
8/10/2022,>25,Male,314,304,146,429,352,90
8/10/2022,15-25,Female,797,107,295,603,870,572
8/10/2022,>25,Female,762,270,405,574,557,785
9/10/2022,15-25,Male,614,241,419,484,488,109
9/10/2022,>25,Male,631,758,936,397,436,196
9/10/2022,15-25,Female,575,55,848,531,445,503
9/10/2022,>25,Female,342,208,425,749,718,827
10/10/2022,15-25,Male,138,405,781,382,332,762
10/10/2022,>25,Male,753,426,317,361,145,914
10/10/2022,15-25,Female,969,596,865,556,748,422
10/10/2022,>25,Female,376,717,508,526,90,251
11/10/2022,15-25,Male,900,587,55,878,93,778
11/10/2022,>25,Male,491,360,452,626,870,206
11/10/2022,15-25,Female,87,846,369,304,302,640
11/10/2022,>25,Female,857,414,272,853,676,71
12/10/2022,15-25,Male,445,453,887,927,667,414
12/10/2022,>25,Male,495,594,287,347,282,749
12/10/2022,15-25,Female,343,961,170,319,611,93
12/10/2022,>25,Female,335,630,768,675,914,847
13/10/2022,15-25,Male,188,201,936,147,160,706
13/10/2022,>25,Male,468,616,678,841,42,392
13/10/2022,15-25,Female,0,572,279,801,273,148
13/10/2022,>25,Female,990,352,721,663,379,649
14/10/2022,15-25,Male,658,342,773,272,701,301
14/10/2022,>25,Male,313,178,324,546,593,10
14/10/2022,15-25,Female,775,686,479,691,399,636
14/10/2022,>25,Female,824,136,214,796,924,423
15/10/2022,15-25,Male,375,466,466,572,307,495
15/10/2022,>25,Male,438,361,304,382,865,753
15/10/2022,15-25,Female,875,317,296,446,895,55
15/10/2022,>25,Female,339,939,555,387,795,450
16/10/2022,15-25,Male,597,288,267,890,837,992
16/10/2022,>25,Male,647,360,793,369,176,502
16/10/2022,15-25,Female,844,875,178,228,354,867
16/10/2022,>25,Female,256,390,856,300,829,380
17/10/2022,15-25,Male,758,588,982,966,883,606
17/10/2022,>25,Male,526,229,693,824,342,409
17/10/2022,15-25,Female,997,573,744,115,53,315
17/10/2022,>25,Female,867,322,546,25,975,895
18/10/2022,15-25,Male,17,120,844,740,323,726
18/10/2022,>25,Male,17,937,280,127,10,667
18/10/2022,15-25,Female,252,954,641,372,742,294
18/10/2022,>25,Female,350,455,385,25,518,368
19/10/2022,15-25,Male,984,981,969,414,128,93
19/10/2022,>25,Male,889,391,636,69,581,329
19/10/2022,15-25,Female,693,963,639,819,723,342
19/10/2022,>25,Female,5,40,778,254,121,63
20/10/2022,15-25,Male,324,431,744,144,918,161
20/10/2022,>25,Male,164,794,602,2,583,840
20/10/2022,15-25,Female,208,852,305,759,13,966
20/10/2022,>25,Female,630,903,121,18,442,270
21/10/2022,15-25,Male,690,650,857,373,748,63
21/10/2022,>25,Male,193,567,227,644,309,158
21/10/2022,15-25,Female,209,620,811,23,220,168
21/10/2022,>25,Female,465,767,720,450,434,503
22/10/2022,15-25,Male,84,453,991,983,545,24
22/10/2022,>25,Male,898,308,195,128,596,756
22/10/2022,15-25,Female,490,606,154,196,108,196
22/10/2022,>25,Female,976,965,267,661,610,329
23/10/2022,15-25,Male,605,586,610,625,633,824
23/10/2022,>25,Male,941,724,493,77,87,557
23/10/2022,15-25,Female,953,314,365,190,789,285
23/10/2022,>25,Female,477,643,271,317,471,682
24/10/2022,15-25,Male,217,779,686,846,845,838
24/10/2022,>25,Male,998,249,715,818,26,878
24/10/2022,15-25,Female,140,575,62,969,824,358
24/10/2022,>25,Female,46,338,852,742,48,490
25/10/2022,15-25,Male,112,417,631,844,756,12
25/10/2022,>25,Male,50,112,693,544,591,711
25/10/2022,15-25,Female,172,614,69,336,560,492
25/10/2022,>25,Female,433,393,236,865,977,326
26/10/2022,15-25,Male,991,319,216,20,720,70
26/10/2022,>25,Male,649,933,839,217,59,318
26/10/2022,15-25,Female,970,711,669,424,458,176
26/10/2022,>25,Female,699,990,930,316,821,335
27/10/2022,15-25,Male,527,828,738,784,473,189
27/10/2022,>25,Male,362,550,464,165,654,916
27/10/2022,15-25,Female,402,683,461,694,235,315
27/10/2022,>25,Female,152,723,971,675,429,92
28/10/2022,15-25,Male,202,127,243,436,280,358
28/10/2022,>25,Male,243,677,589,929,710,386
28/10/2022,15-25,Female,316,565,741,32,169,223
28/10/2022,>25,Female,716,562,912,457,952,193
29/10/2022,15-25,Male,585,498,201,334,763,650
29/10/2022,>25,Male,977,127,198,647,967,408
29/10/2022,15-25,Female,215,495,757,781,36,812
29/10/2022,>25,Female,242,690,161,717,746,322
